Latitude Longitude DistanceAlongTransect NestID NewHybridChr18 NDP
52.497 12.402 525.9041 D_Ba_1 0 1
52.497 12.402 525.9041 D_Ba_1 0 0
52.497 12.402 525.9041 D_Ba_1 0 1
52.497 12.402 525.9041 D_Ba_2 0 0
52.497 12.402 525.9041 D_Ba_10 0 0
52.497 12.402 525.9041 D_Ba_10 0 0
52.497 12.402 525.9041 D_Ba_10 0 1
52.497 12.402 525.9041 D_Ba_5Artifical 0 0
52.497 12.402 525.9041 D_Ba_5Artifical 0 0
52.497 12.402 525.9041 D_Ba_5Artifical 0 0
52.497 12.402 525.9041 D_Ba_6Artifical 0 NA
52.497 12.402 525.9041 D_Ba_6Artifical 0 0
52.497 12.402 525.9041 D_Ba_9Artifical 1 0
52.497 12.402 525.9041 D_Ba_9Artifical 1 0
52.497 12.402 525.9041 D_Ba_9Artifical 1 0
52.497 12.402 525.9041 D_Ba_13 0 0
52.497 12.402 525.9041 D_Ba_13 0 1
52.497 12.402 525.9041 D_Ba_13 0 0
52.497 12.402 525.9041 D_Ba_13 0 0
52.497 12.402 525.9041 D_Ba_13 0 1
51.574 7.383 0 N237 2 2
51.574 7.383 0 N238 2 1
51.574 7.383 0 N239 2 1
51.574 7.383 0 N242 2 1
51.574 7.383 0 N246 2 1
51.574 7.383 0 N247 2 2
51.574 7.383 0 N248 2 2
51.574 7.383 0 N250 2 2
51.574 7.383 0 N251 2 2
51.574 7.383 0 N253 2 1
51.574 7.383 0 N254 2 1
51.574 7.383 0 N255 2 2
52.522 12.37 523.77 D_Dö_7 0 0
52.522 12.37 523.77 D_Dö_7 0 0
52.522 12.37 523.77 D_Dö_7 0 0
52.522 12.37 523.77 D_Dö_8 0 0
52.522 12.37 523.77 D_Dö_8 0 0
52.522 12.37 523.77 D_Dö_8 0 0
52.522 12.37 523.77 D_Dö_8 0 0
52.522 12.37 523.77 D_Dö_8 0 0
52.522 12.37 523.77 D_Dö_14 1 1
52.522 12.37 523.77 D_Dö_14 1 1
52.522 12.37 523.77 D_Dö_14 1 1
50.97 13.124 436.6202 D_Hi2014_N34 2 1
50.97 13.124 436.6202 D_Hi2014_N34 2 1
50.97 13.124 436.6202 D_Hi2014_N10 2 1
50.97 13.124 436.6202 D_Hi2014_N10 2 2
50.97 13.124 436.6202 D_Hi2014_N10 2 2
50.97 13.124 436.6202 D_Hi2014_N10 2 1
50.97 13.124 436.6202 D_Hi2014_N35 2 0
51.751 6.246 0 N257 2 2
51.751 6.246 0 N258 2 2
51.751 6.246 0 N259 2 0
51.751 6.246 0 N260 2 1
51.751 6.246 0 N261 2 2
51.751 6.246 0 N262 2 2
51.751 6.246 0 N263 2 1
51.751 6.246 0 N265 2 2
51.751 6.246 0 N266 2 1
51.751 6.246 0 N267 2 2
51.751 6.246 0 N269 2 2
51.751 6.246 0 N270 2 1
51.751 6.246 0 N271 2 1
51.751 6.246 0 N272 2 2
52.493 12.45 529.1296 D_Kü_3 1 0
52.493 12.45 529.1296 D_Kü_3 0 0
52.493 12.45 529.1296 D_Kü_3 1 0
52.493 12.45 529.1296 D_Kü_3 1 0
52.493 12.45 529.1296 D_Kü_11 0 0
52.493 12.45 529.1296 D_Kü_12 0 1
52.493 12.45 529.1296 D_Kü_12 0 1
52.493 12.45 529.1296 D_Kü_12 0 0
52.493 12.45 529.1296 D_Kü_12 0 1
50.859 12.762 409.5772 D_Lo_Deit2014_N04 2 0
50.859 12.762 409.5772 D_Lo_Deit2014_N04 2 1
50.859 12.762 409.5772 D_Lo_Deit2014_N04 2 0
50.859 12.762 409.5772 D_Lo_Deit2014_N06 2 1
50.859 12.762 409.5772 D_Lo_Deit2014_N06 2 0
50.859 12.762 409.5772 D_Lo_Deit2014_N06 2 1
50.859 12.762 409.5772 D_Lo_Deit2014_N07 2 1
50.859 12.762 409.5772 D_Lo_Deit2014_N07 2 1
50.859 12.762 409.5772 D_Lo_Deit2014_N07 2 0
50.859 12.762 409.5772 D_Lo_Deit2014_N08 2 0
50.859 12.762 409.5772 D_Lo_Deit2014_N08 2 0
50.859 12.762 409.5772 D_Lo_Deit2014_N10 2 2
50.859 12.762 409.5772 D_Lo_Deit2014_N11 2 1
50.859 12.762 409.5772 D_Lo_Deit2014_N11 2 1
50.859 12.762 409.5772 D_Lo_Deit2014_N12 2 2
50.859 12.762 409.5772 D_Lo_Deit2014_N12 2 2
50.859 12.762 409.5772 D_Lo_Deit2014_N12 2 2
50.859 12.762 409.5772 D_Lo_Deit2014_N14 2 1
50.859 12.762 409.5772 D_Lo_Deit2014_N14 2 1
52.476 12.394 525.9041 D_Mö_15 1 0
50.985 12.982 432.54 D_Mw_Deit2014_N01 2 1
50.985 12.982 432.54 D_Mw_Deit2014_N01 2 1
50.985 12.982 432.54 D_Mw_Deit2014_N01 2 1
51.271 14.327 518.595 K010 0 0
51.271 14.327 518.595 K040 0 1
51.271 14.327 518.595 K040 0 0
51.271 14.327 518.595 K040 1 1
51.271 14.327 518.595 K033 0 0
51.271 14.327 518.595 K033 0 0
51.271 14.327 518.595 K033 0 0
51.271 14.327 518.595 K031 0 0
51.271 14.327 518.595 K031 1 0
51.271 14.327 518.595 K031 0 0
51.271 14.327 518.595 K031 1 0
51.271 14.327 518.595 K010 0 0
51.271 14.327 518.595 K029 1 0
51.271 14.327 518.595 K029 1 0
51.271 14.327 518.595 K029 1 0
51.271 14.327 518.595 K036 1 0
51.271 14.327 518.595 K036 1 0
51.271 14.327 518.595 K036 1 0
51.271 14.327 518.595 W109 1 0
51.271 14.327 518.595 W109 1 0
51.271 14.327 518.595 W109 1 0
51.271 14.327 518.595 W125 1 0
51.271 14.327 518.595 K002 0 0
51.271 14.327 518.595 K002 0 0
51.271 14.327 518.595 K002 0 0
51.271 14.327 518.595 W123 0 0
51.271 14.327 518.595 W123 0 0
51.271 14.327 518.595 W123 1 0
51.271 14.327 518.595 W123 1 0
51.271 14.327 518.595 W158 0 0
51.271 14.327 518.595 W168 2 0
51.271 14.327 518.595 W168 1 0
51.271 14.327 518.595 W168 1 0
51.271 14.327 518.595 W167 0 1
51.271 14.327 518.595 W167 0 0
51.271 14.327 518.595 W167 0 1
51.271 14.327 518.595 W167 0 0
51.271 14.327 518.595 W154 0 0
51.271 14.327 518.595 W153 1 0
51.271 14.327 518.595 W152 1 0
51.271 14.327 518.595 W152 1 0
51.271 14.327 518.595 W152 0 0
50.498 12.14 343.9145 D_Pl2014_N18 2 2
50.498 12.14 343.9145 D_Pl2014_N09 2 0
50.498 12.14 343.9145 D_Pl2014_N09 2 0
51.213 13.724 487.8733 J005 2 1
51.213 13.724 487.8733 J025 1 0
51.213 13.724 487.8733 J025 2 0
51.213 13.724 487.8733 J010 2 0
51.213 13.724 487.8733 J010 2 0
51.213 13.724 487.8733 J010 1 0
51.213 13.724 487.8733 J010 1 0
51.213 13.724 487.8733 J020 1 0
51.213 13.724 487.8733 J014 1 0
51.213 13.724 487.8733 J015 1 0
51.213 13.724 487.8733 J015 1 1
51.213 13.724 487.8733 J015 1 0
51.213 13.724 487.8733 G006 1 2
51.213 13.724 487.8733 G006 1 2
51.213 13.724 487.8733 J026 0 0
51.213 13.724 487.8733 J026 0 0
50.661 6.791 0 N274 2 1
50.661 6.791 0 N275 2 2
50.661 6.791 0 N276 2 1
51.259 6.679 0 N277 2 1
51.259 6.679 0 N278 2 1
51.259 6.679 0 N279 2 2
51.259 6.679 0 N280 2 2
52.229 21.012 825.8476 N314 0 0
52.229 21.012 825.8476 N315 0 0
52.229 21.012 825.8476 N316 0 0
52.229 21.012 825.8476 N317 0 0
52.229 21.012 825.8476 N318 0 0
59.858 17.643 825.8476 N319 0 0
59.858 17.643 825.8476 N320 0 0
59.858 17.643 825.8476 N321 0 0
59.858 17.643 825.8476 N322 0 0
59.858 17.643 825.8476 N323 0 0
59.858 17.643 825.8476 S_Up2014_N16 0 0
59.858 17.643 825.8476 S_Up2014_N02 0 0
59.858 17.643 825.8476 S_Up2014_N18 0 0
59.858 17.643 825.8476 S_Up2014_N25 0 0
59.858 17.643 825.8476 S_Up2014_N14 0 0
59.858 17.643 825.8476 S_Up2014_N09 0 0
59.858 17.643 825.8476 S_Up2014_N06 0 0
59.858 17.643 825.8476 S_Up2014_N21 0 0
59.858 17.643 825.8476 S_Up2014_N19 0 0
59.858 17.643 825.8476 S_Up2014_N03 0 0
51.574 7.383 0 N324 2 2
52.229 21.012 825.8476 N339 0 0
52.229 21.012 825.8476 N340 0 0
52.229 21.012 825.8476 N341 0 0
52.229 21.012 825.8476 N342 0 0
52.229 21.012 825.8476 N343 0 0
52.229 21.012 825.8476 N344 0 0
52.229 21.012 825.8476 N345 0 0
52.229 21.012 825.8476 N346 0 0
52.229 21.012 825.8476 N347 0 0
52.229 21.012 825.8476 N348 0 0
